objectid;nom_site;adresse;code_site;arrondissement;geo_shape;lat;lon
55;MAISON DES ASSOCIATIONS DU 06;60, RUE SAINT ANDRE DES ARTS;PARIS_WIFI_0603;75006;"{""type"": ""Point"", ""coordinates"": [2.339607451618665, 48.8535493008513]}";48,8535493;2,339607452
58;BIBLIOTHEQUE AMELIE;164, RUE DE GRENELLE;PARIS_WIFI_0701;75007;"{""type"": ""Point"", ""coordinates"": [2.308971578280275, 48.858065797174355]}";48,8580658;2,308971578
59;BIBLIOTHEQUE SAINT SIMON (MAIRIE DU 7E);116, RUE DE GRENELLE;PARIS_WIFI_0702;75007;"{""type"": ""Point"", ""coordinates"": [2.319813150100944, 48.85690521733102]}";48,85690522;2,31981315
72;JARDIN DE LA VALLEE SUISSE (ex PROMENADE DES CHAMPS ELYSEES (ASS));PLACE DU CANADA;PARIS_WIFI_0804;75008;"{""type"": ""Point"", ""coordinates"": [2.310688284156154, 48.865042875434945]}";48,86504288;2,310688284
87;SQUARE D'ANVERS;PLACE D'ANVERS;PARIS_WIFI_0907;75009;"{""type"": ""Point"", ""coordinates"": [2.344263022692337, 48.88238572254084]}";48,88238572;2,344263023
89;SQUARE TRINITE D ESTIENNE D ORVES;RUE BLANCHE;PARIS_WIFI_0909;75009;"{""type"": ""Point"", ""coordinates"": [2.33125629333176, 48.87679312861409]}";48,87679313;2,331256293
92;BIBLIOTHEQUE FRANCOIS VILLON;81, BOULEVARD DE LA VILLETTE;PARIS_WIFI_1002;75010;"{""type"": ""Point"", ""coordinates"": [2.370769407435742, 48.87724562731623]}";48,87724563;2,370769407
94;BOURSE DU TRAVAIL;3, RUE DU CHATEAU D'EAU;PARIS_WIFI_1004;75010;"{""type"": ""Point"", ""coordinates"": [2.36207728770262, 48.869038508309224]}";48,86903851;2,362077288
95;CENTRE D'ANIMATION ESPACE JEMMAPES;116, QUAI DE JEMMAPES;PARIS_WIFI_1005;75010;"{""type"": ""Point"", ""coordinates"": [2.363910673190261, 48.87504226943705]}";48,87504227;2,363910673
100;SQUARE ALBAN SATRAGNE;107, RUE DU FAUBOURG SAINT DENIS;PARIS_WIFI_1010;75010;"{""type"": ""Point"", ""coordinates"": [2.354990281070108, 48.875648295783265]}";48,8756483;2,354990281
102;SQUARE JULIETTE DODU;ANGLE RUE JULIETTE DODU;PARIS_WIFI_1012;75010;"{""type"": ""Point"", ""coordinates"": [2.369178183912484, 48.87557333035163]}";48,87557333;2,369178184
