objectid;nom_site;adresse;code_site;arrondissement;geo_shape;geo_point_2d
74;MAISON DES ASSOCIATIONS DU 08;28, RUE LAURE DIEBOLD;PARIS_WIFI_0806;75008;POINT(2.304766461525645 48.87602610152018);48.8760261015 2.30476646153
76;MUSEE DU PETIT PALAIS;1, AVENUE DUTUIT;PARIS_WIFI_0808;75008;POINT(2.31432866167242 48.86605926215696);48.8660592622 2.31432866167
81;ANNEXE MAISON DES ASSOCIATIONS 09;35, RUE VICTOR MASSE;PARIS_WIFI_0901;75009;POINT(2.337007922184782 48.88098644146314);48.8809864415 2.33700792218
90;CENTRE D'ANIMATION TOUR DES DAMES;14-18 rue de la Tour des Dames;PARIS_WIFI_0910;75009;POINT(2.332736233817834 48.877789880618955);48.8777898806 2.33273623382
97;MAIRIE 10;72, RUE DU FAUBOURG SAINT MARTIN;PARIS_WIFI_1007;75010;POINT(2.357415454809863 48.871892037559824);48.8718920376 2.35741545481
99;MAISON DES ENTREPRISES ET DE L' EMPLOI;209, RUE LAFAYETTE;PARIS_WIFI_1009;75010;POINT(2.364096894142902 48.88128451599195);48.881284516 2.36409689414
101;SQUARE AMADOU HAMPATE BA;17, RUE BOY ZELENSKI;PARIS_WIFI_1011;75010;POINT(2.36828576609327 48.87744891926938);48.8774489193 2.36828576609
110;JARDIN BATACLAN;102, BOULEVARD RICHARD LENOIR;PARIS_WIFI_1104;75011;POINT(2.371639850895383 48.86334175698711);48.863341757 2.3716398509
112;JARDIN DAMIA (ex ZAC DORIAN);PASSAGE DU BUREAU;PARIS_WIFI_1106;75011;POINT(2.394018259518071 48.85485158143665);48.8548515814 2.39401825952
122;SQUARE ORILLON JULES VERNES;19 BIS, RUE DE L ORILLON;PARIS_WIFI_1117;75011;POINT(2.375124831354122 48.8700322353404);48.8700322353 2.37512483135
124;ALLEE VIVALDI;13, RUE HENARD;PARIS_WIFI_1202;75012;POINT(2.389217499322704 48.84203106458122);48.8420310646 2.38921749932
127;BIBLIOTHEQUE SAINT ELOI;23, RUE DU COLONEL ROZANOFF;PARIS_WIFI_1206;75012;POINT(2.387092143247935 48.845526632386246);48.8455266324 2.38709214325
130;CENTRE D'HEBERGEMENT MAURICE RAVEL;6, AVENUE MAURICE RAVEL;PARIS_WIFI_1209;75012;POINT(2.411640693289274 48.842308012927305);48.8423080129 2.41164069329
134;JARDIN DE REUILLY;1, RUE ALBINONI;PARIS_WIFI_1213;75012;POINT(2.388252540397555 48.84280305085213);48.8428030509 2.3882525404
137;MAISON DES ASSOCIATIONS DU 12;181, AVENUE DAUMESNIL;PARIS_WIFI_1216;75012;POINT(2.392402361141131 48.84049832012111);48.8404983201 2.39240236114
148;BIBLIOTHEQUE GLACIERE - MARINA TSVETAIEVA;132, RUE DE LA GLACIERE;PARIS_WIFI_1301;75013;POINT(2.341975308347513 48.82731527276159);48.8273152728 2.34197530835
155;Centre Sportif Georges Carpentier Tennis de Table;81, BOULEVARD MASSENA;PARIS_WIFI_1308;75013;POINT(2.370222702547036 48.82011148521751);48.8201114852 2.37022270255
156;JARDIN CHATEAU DES RENTIERS;RUE DU CHATEAU DES RENTIERS;PARIS_WIFI_1309;75013;POINT(2.369430950410213 48.825380639572195);48.8253806396 2.36943095041
160;JARDIN JAMES JOYCE;RUE GEORGES BALANCHINE;PARIS_WIFI_1313;75013;POINT(2.373757241245584 48.836277455826675);48.8362774558 2.37375724125
